#,Name,Start,End,Length,Color
M1,Start,00:00:00:00,,,FF0000
M2,Allumage progressif,00:00:38:22,,,
M3,début rotation,00:01:26:00,,,
M4,Accélération,00:02:01:06,,,
M5,Ecartement,00:02:13:05,,,
M6,Allumage Large et bref,00:02:14:19,,,
M7,"Début gravitation, allumage large progressif",00:02:21:02,,,
M8,Rupture orbites circulaires -> éllipses et rapprochement,00:03:43:09,,,
M9,Eloignement,00:03:53:24,,,
M10,Rupture de circularité alternées ,00:04:23:18,,,
M11,Rapprochement,00:04:46:11,,,
M12,"Mouvements chaotiques, attraction / répulsion",00:04:59:24,,,
M13,Harmonisation des mouvements,00:05:18:09,,,
M14,Augmentation entropie,00:05:40:14,,,
M15,Suspension,00:06:02:27,,,
M16,Jaunissement lumière,00:06:08:01,,,
M17,Faces collées,00:06:52:09,,,
M18,Reprise Gravitation,00:07:04:16,,,
M19,"Décentrage, agmentation éclairage",00:07:28:14,,,
M20,Poursuite,00:08:11:14,,,
M21,Gravitation,00:08:29:10,,,
M22,Exctinction lumières lente,00:09:04:23,,,
M23,"Attrapé, soulevé et rotation dans l'espace, baisse progressive des lumières",00:09:45:22,,,
M24,"Arret mouvement, étreinte",00:10:10:18,,,
M25,"Extinction progressive lumière centrale blanche, allumage side jaune",00:10:22:20,,,
M26,Effondrement progressif Angel,00:10:54:12,,,
M27,Allumage lumière centrale,00:15:30:09,,,
M28,Augmentation éclairage,00:16:51:10,,,
M29,Clignotement lumière arrière plan,00:19:34:18,,,
M30,Augmentation soudaine éclairage global,00:20:53:25,,,
M31,Exctinction éclairage central,00:21:00:03,,,
M32,Allumage directional spot 1,00:21:12:06,,,
M33,Allumage directional spots 2 à 4,00:21:51:15,,,
M34,Mouvement spot 1 par Vito,00:22:04:29,,,
M35,Mouvement spot 3 par Angel,00:22:08:06,,,
M36,Mouvement spot 4 par angel,00:22:20:04,,,
M37,Mouvement spot 2 par vito,00:22:22:03,,,
M38,Retraite danseurs ,00:22:49:00,,,
